"","country","ccode","year","tier","minstand","efforts","TRAFFICKING_FLOWS","source","source_order","transit","transit_order","destination","destination_order","internal","TRAFFICKING_TYPES","psource","ptransit","pdest","pinternal","lsource","ltransit","ldest","linternal","dsource","dtransit","ddest","dinternal","dssource","dstransit","dsdest","dsinternal","cpsource","cptransit","cpdest","cpinternal","clsource","cltransit","cldest","clinternal","cssource","cstransit","csdest","csinternal","PROSECUTION","domesticlaws","enforcement","convictinfo","prosnum","PROTECTION","protectprogress","victimid","victimservices","victimpunish","PREVENTION","preventprogress","INTERNATIONAL_LAWS","UNP_sign","UNP_rat","ILO182","ILO29","ILO105","CEDAW_sign","CEDAW_rat","UNCRC_sign","UNCRC_rat","conflict_sign","conflict_rat"
"17","Canada",20,2007,1,1,1,NA,0,0,1,3,1,2,1,NA,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,2,2,1,9,NA,1,0,1,0,NA,2,NA,"14 Dec 2000Ê","13 May 2002Ê",2000-06-06,2011-06-13,1959-07-14,"17 Jul 1980Ê","10 Dec 1981Ê","10 Nov 2001Ê","14 Sep 2005Ê","Ê5 Jun 2000Ê","Ê7 Jul 2000Ê"
"18","Canada",20,2008,1,1,1,NA,1,1,1,2,1,3,1,NA,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,NA,2,1,1,17,NA,1,0,1,-1,NA,2,NA,"14 Dec 2000Ê","13 May 2002Ê",2000-06-06,2011-06-13,1959-07-14,"17 Jul 1980Ê","10 Dec 1981Ê","10 Nov 2001Ê","14 Sep 2005Ê","Ê5 Jun 2000Ê","Ê7 Jul 2000Ê"
"19","Canada",20,2009,1,1,1,NA,1,1,1,2,1,3,1,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,NA,1,2,1,5,NA,1,0,1,-1,NA,2,NA,"14 Dec 2000Ê","13 May 2002Ê",2000-06-06,2011-06-13,1959-07-14,"17 Jul 1980Ê","10 Dec 1981Ê","10 Nov 2001Ê","14 Sep 2005Ê","Ê5 Jun 2000Ê","Ê7 Jul 2000Ê"
"20","Canada",20,2010,1,1,1,NA,1,1,1,2,1,3,1,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,NA,1,2,1,32,NA,1,-1,1,-1,NA,2,NA,"14 Dec 2000Ê","13 May 2002Ê",2000-06-06,2011-06-13,1959-07-14,"17 Jul 1980Ê","10 Dec 1981Ê","10 Nov 2001Ê","14 Sep 2005Ê","Ê5 Jun 2000Ê","Ê7 Jul 2000Ê"
"21","Canada",20,2011,1,1,2,NA,1,1,1,2,1,3,1,NA,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,NA,2,2,1,68,NA,1,-1,1,-1,NA,2,NA,"14 Dec 2000Ê","13 May 2002Ê",2000-06-06,2011-06-13,1959-07-14,"17 Jul 1980Ê","10 Dec 1981Ê","10 Nov 2001Ê","14 Sep 2005Ê","Ê5 Jun 2000Ê","Ê7 Jul 2000Ê"
"22","Bahamas, The",31,2006,-99,0,0,NA,0,0,0,0,1,1,1,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,1,-1,0,NA,NA,-1,0,0,0,NA,1,NA,"Ê9 Apr 2001Ê","26 Sep 2008Ê",2001-06-14,1976-05-25,1976-05-25,"","Ê6 Oct 1993 a","","","",""
"23","Bahamas, The",31,2007,-99,0,0,NA,0,0,0,0,1,1,1,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,1,-1,1,0,NA,-1,-1,-1,0,NA,1,NA,"Ê9 Apr 2001Ê","26 Sep 2008Ê",2001-06-14,1976-05-25,1976-05-25,"","Ê6 Oct 1993 a","","","",""
"24","Bahamas, The",31,2008,-99,0,0,NA,0,0,1,2,1,1,0,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,-1,1,0,NA,-1,-1,-1,0,NA,1,NA,"Ê9 Apr 2001Ê","26 Sep 2008Ê",2001-06-14,1976-05-25,1976-05-25,"","Ê6 Oct 1993 a","","","",""
"25","Bahamas, The",31,2009,2,-1,1,NA,0,0,0,0,1,1,0,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,-1,1,0,NA,1,-1,-1,-1,NA,1,NA,"Ê9 Apr 2001Ê","26 Sep 2008Ê",2001-06-14,1976-05-25,1976-05-25,"","Ê6 Oct 1993 a","","","",""
"26","Bahamas, The",31,2010,2,-1,1,NA,0,0,0,0,1,1,0,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,-1,1,0,NA,-1,-1,-1,-1,NA,1,NA,"Ê9 Apr 2001Ê","26 Sep 2008Ê",2001-06-14,1976-05-25,1976-05-25,"","Ê6 Oct 1993 a","","","",""
"27","Bahamas, The",31,2011,2,-1,2,NA,1,2,1,3,1,1,0,NA,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,NA,2,1,1,0,NA,-1,-1,1,1,NA,1,NA,"Ê9 Apr 2001Ê","26 Sep 2008Ê",2001-06-14,1976-05-25,1976-05-25,"","Ê6 Oct 1993 a","","","",""
"28","Cuba",40,2003,3,-1,-1,NA,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,1,-1,0,NA,NA,-1,0,1,0,NA,-1,NA,"","20 Jun 2013 a",NA,1953-07-20,1958-06-02,"Ê6 Mar 1980Ê","17 Jul 1980Ê","13 Oct 2000Ê","25 Sep 2001Ê","13 Oct 2000Ê","Ê9 Feb 2007Ê"
"29","Cuba",40,2004,3,-1,-1,NA,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,-1,-1,0,NA,NA,-1,0,-1,0,NA,-1,NA,"","20 Jun 2013 a",NA,1953-07-20,1958-06-02,"Ê6 Mar 1980Ê","17 Jul 1980Ê","13 Oct 2000Ê","25 Sep 2001Ê","13 Oct 2000Ê","Ê9 Feb 2007Ê"
"30","Cuba",40,2005,3,-1,-1,NA,1,1,0,0,0,0,1,NA,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NA,-1,0,0,NA,NA,-1,0,-1,0,NA,-1,NA,"","20 Jun 2013 a",NA,1953-07-20,1958-06-02,"Ê6 Mar 1980Ê","17 Jul 1980Ê","13 Oct 2000Ê","25 Sep 2001Ê","13 Oct 2000Ê","Ê9 Feb 2007Ê"
"31","Cuba",40,2006,3,-1,-1,NA,1,1,0,0,0,0,0,NA,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NA,-1,-1,-1,NA,NA,-1,0,-1,1,NA,-1,NA,"","20 Jun 2013 a",NA,1953-07-20,1958-06-02,"Ê6 Mar 1980Ê","17 Jul 1980Ê","13 Oct 2000Ê","25 Sep 2001Ê","13 Oct 2000Ê","Ê9 Feb 2007Ê"
"32","Cuba",40,2007,3,-1,-1,NA,0,0,0,0,0,0,1,NA,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,NA,1,0,0,NA,NA,-1,-1,0,1,NA,-1,NA,"","20 Jun 2013 a",NA,1953-07-20,1958-06-02,"Ê6 Mar 1980Ê","17 Jul 1980Ê","13 Oct 2000Ê","25 Sep 2001Ê","13 Oct 2000Ê","Ê9 Feb 2007Ê"
"33","Cuba",40,2008,3,-1,-1,NA,1,1,1,2,0,0,1,NA,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NA,1,1,0,2,NA,0,-1,1,0,NA,0,NA,"","20 Jun 2013 a",NA,1953-07-20,1958-06-02,"Ê6 Mar 1980Ê","17 Jul 1980Ê","13 Oct 2000Ê","25 Sep 2001Ê","13 Oct 2000Ê","Ê9 Feb 2007Ê"
"34","Cuba",40,2009,3,-1,-1,NA,1,1,0,0,0,0,1,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,1,0,0,NA,NA,-1,-1,1,1,NA,-1,NA,"","20 Jun 2013 a",NA,1953-07-20,1958-06-02,"Ê6 Mar 1980Ê","17 Jul 1980Ê","13 Oct 2000Ê","25 Sep 2001Ê","13 Oct 2000Ê","Ê9 Feb 2007Ê"
"35","Cuba",40,2010,3,-1,-1,NA,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,1,0,0,NA,NA,-1,-1,1,0,NA,1,NA,"","20 Jun 2013 a",NA,1953-07-20,1958-06-02,"Ê6 Mar 1980Ê","17 Jul 1980Ê","13 Oct 2000Ê","25 Sep 2001Ê","13 Oct 2000Ê","Ê9 Feb 2007Ê"
"36","Cuba",40,2011,3,-1,-1,NA,1,1,0,0,0,0,0,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,1,-1,-1,NA,NA,-1,-1,1,1,NA,-1,NA,"","20 Jun 2013 a",NA,1953-07-20,1958-06-02,"Ê6 Mar 1980Ê","17 Jul 1980Ê","13 Oct 2000Ê","25 Sep 2001Ê","13 Oct 2000Ê","Ê9 Feb 2007Ê"
"37","Haiti",41,2001,2,-1,1,NA,1,1,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NA,1,1,0,NA,NA,1,0,0,0,NA,1,NA,"13 Dec 2000Ê","19 Apr 2011Ê",2007-07-19,1958-03-04,1958-03-04,"17 Jul 1980Ê","20 Jul 1981Ê","15 Aug 2002Ê","","15 Aug 2002Ê",""
"38","Haiti",41,2002,2,-1,1,NA,1,1,0,0,0,0,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,1,-1,0,0,NA,-1,0,-1,0,NA,1,NA,"13 Dec 2000Ê","19 Apr 2011Ê",2007-07-19,1958-03-04,1958-03-04,"17 Jul 1980Ê","20 Jul 1981Ê","15 Aug 2002Ê","","15 Aug 2002Ê",""
"39","Haiti",41,2003,3,-1,-1,NA,1,1,1,2,1,3,1,NA,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,NA,1,-1,0,0,NA,1,0,0,0,NA,1,NA,"13 Dec 2000Ê","19 Apr 2011Ê",2007-07-19,1958-03-04,1958-03-04,"17 Jul 1980Ê","20 Jul 1981Ê","15 Aug 2002Ê","","15 Aug 2002Ê",""
"40","Haiti",41,2004,-99,0,0,NA,1,1,1,2,1,3,1,NA,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,"13 Dec 2000Ê","19 Apr 2011Ê",2007-07-19,1958-03-04,1958-03-04,"17 Jul 1980Ê","20 Jul 1981Ê","15 Aug 2002Ê","","15 Aug 2002Ê",""
"41","Haiti",41,2005,2,-1,1,NA,1,1,1,2,1,3,1,NA,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,NA,1,1,1,0,NA,1,0,0,0,NA,-1,NA,"13 Dec 2000Ê","19 Apr 2011Ê",2007-07-19,1958-03-04,1958-03-04,"17 Jul 1980Ê","20 Jul 1981Ê","15 Aug 2002Ê","","15 Aug 2002Ê",""
"42","Haiti",41,2006,-99,0,0,NA,1,1,1,2,1,3,1,NA,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,"13 Dec 2000Ê","19 Apr 2011Ê",2007-07-19,1958-03-04,1958-03-04,"17 Jul 1980Ê","20 Jul 1981Ê","15 Aug 2002Ê","","15 Aug 2002Ê",""
"43","Haiti",41,2007,-99,0,0,NA,1,1,1,2,1,3,1,NA,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,"13 Dec 2000Ê","19 Apr 2011Ê",2007-07-19,1958-03-04,1958-03-04,"17 Jul 1980Ê","20 Jul 1981Ê","15 Aug 2002Ê","","15 Aug 2002Ê",""
"44","Haiti",41,2008,-99,0,0,NA,1,1,1,2,1,3,1,NA,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,NA,1,0,0,NA,NA,1,0,0,0,NA,0,NA,"13 Dec 2000Ê","19 Apr 2011Ê",2007-07-19,1958-03-04,1958-03-04,"17 Jul 1980Ê","20 Jul 1981Ê","15 Aug 2002Ê","","15 Aug 2002Ê",""
"45","Haiti",41,2009,-99,0,0,NA,1,1,1,2,1,3,1,NA,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,NA,1,0,0,NA,NA,1,-1,-1,0,NA,0,NA,"13 Dec 2000Ê","19 Apr 2011Ê",2007-07-19,1958-03-04,1958-03-04,"17 Jul 1980Ê","20 Jul 1981Ê","15 Aug 2002Ê","","15 Aug 2002Ê",""
"46","Haiti",41,2010,-99,0,0,NA,1,1,1,2,1,3,1,NA,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,NA,1,-1,0,NA,NA,1,-1,-1,0,NA,0,NA,"13 Dec 2000Ê","19 Apr 2011Ê",2007-07-19,1958-03-04,1958-03-04,"17 Jul 1980Ê","20 Jul 1981Ê","15 Aug 2002Ê","","15 Aug 2002Ê",""
"47","Haiti",41,2011,-99,0,0,NA,1,1,1,2,1,3,1,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,NA,1,-1,1,NA,NA,1,-1,-1,0,NA,-1,NA,"13 Dec 2000Ê","19 Apr 2011Ê",2007-07-19,1958-03-04,1958-03-04,"17 Jul 1980Ê","20 Jul 1981Ê","15 Aug 2002Ê","","15 Aug 2002Ê",""
"48","Dominican Republic",42,2001,2,-1,1,NA,1,1,0,0,0,0,0,NA,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,1,2,1,NA,NA,0,0,-1,0,NA,1,NA,"15 Dec 2000Ê","Ê5 Feb 2008Ê",2000-11-15,1956-12-05,1958-06-23,"17 Jul 1980Ê","Ê2 Sep 1982Ê","","Ê6 Dec 2006 a","Ê9 May 2002Ê",""
"49","Dominican Republic",42,2002,2,-1,1,NA,1,1,0,0,1,2,1,NA,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,1,-1,1,NA,NA,0,0,-1,0,NA,2,NA,"15 Dec 2000Ê","Ê5 Feb 2008Ê",2000-11-15,1956-12-05,1958-06-23,"17 Jul 1980Ê","Ê2 Sep 1982Ê","","Ê6 Dec 2006 a","Ê9 May 2002Ê",""
"50","Dominican Republic",42,2003,3,-1,-1,NA,1,1,1,2,1,3,1,NA,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,1,1,0,NA,NA,1,0,-1,0,NA,1,NA,"15 Dec 2000Ê","Ê5 Feb 2008Ê",2000-11-15,1956-12-05,1958-06-23,"17 Jul 1980Ê","Ê2 Sep 1982Ê","","Ê6 Dec 2006 a","Ê9 May 2002Ê",""
"51","Dominican Republic",42,2004,2,-1,1,NA,1,1,1,2,1,3,0,NA,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,NA,1,1,1,NA,NA,-1,0,-1,1,NA,1,NA,"15 Dec 2000Ê","Ê5 Feb 2008Ê",2000-11-15,1956-12-05,1958-06-23,"17 Jul 1980Ê","Ê2 Sep 1982Ê","","Ê6 Dec 2006 a","Ê9 May 2002Ê",""
"52","Dominican Republic",42,2005,2,-1,1,NA,1,1,1,2,1,3,0,NA,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,NA,1,1,-1,NA,NA,-1,-1,-1,1,NA,-1,NA,"15 Dec 2000Ê","Ê5 Feb 2008Ê",2000-11-15,1956-12-05,1958-06-23,"17 Jul 1980Ê","Ê2 Sep 1982Ê","","Ê6 Dec 2006 a","Ê9 May 2002Ê",""
"53","Dominican Republic",42,2006,2,-1,1,NA,1,1,1,2,1,3,1,NA,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,NA,1,1,1,17,NA,-1,-1,-1,0,NA,1,NA,"15 Dec 2000Ê","Ê5 Feb 2008Ê",2000-11-15,1956-12-05,1958-06-23,"17 Jul 1980Ê","Ê2 Sep 1982Ê","","Ê6 Dec 2006 a","Ê9 May 2002Ê",""
"54","Dominican Republic",42,2007,2,-1,1,NA,1,1,1,2,1,3,1,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,NA,2,1,1,120,NA,-1,-1,-1,-1,NA,1,NA,"15 Dec 2000Ê","Ê5 Feb 2008Ê",2000-11-15,1956-12-05,1958-06-23,"17 Jul 1980Ê","Ê2 Sep 1982Ê","","Ê6 Dec 2006 a","Ê9 May 2002Ê",""
"55","Dominican Republic",42,2008,2,-1,1,NA,1,1,1,2,1,3,1,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,NA,2,1,1,12,NA,-1,-1,-1,-1,NA,2,NA,"15 Dec 2000Ê","Ê5 Feb 2008Ê",2000-11-15,1956-12-05,1958-06-23,"17 Jul 1980Ê","Ê2 Sep 1982Ê","","Ê6 Dec 2006 a","Ê9 May 2002Ê",""
"56","Dominican Republic",42,2009,2,-1,1,NA,1,1,1,2,1,3,1,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,NA,2,1,1,0,NA,1,0,-1,-1,NA,2,NA,"15 Dec 2000Ê","Ê5 Feb 2008Ê",2000-11-15,1956-12-05,1958-06-23,"17 Jul 1980Ê","Ê2 Sep 1982Ê","","Ê6 Dec 2006 a","Ê9 May 2002Ê",""
